id,magnitude,color_index,size,ellipticity,label
obj_0017042,15.58,0.74,1.71,0.28,spiral
obj_0017043,15.99,1.42,2.22,0.37,spiral
obj_0017044,15.33,0.63,2.36,0.52,spiral
obj_0017045,14.55,0.33,1.64,0.09,spiral
obj_0017046,16.71,0.7,2.42,0.05,spiral
obj_0017047,15.1,0.4,3.06,0.36,spiral
obj_0017048,16.25,0.44,1.89,0.3,spiral
obj_0017049,16.62,0.66,2.88,0.44,spiral
obj_0017050,15.12,1.15,1.21,0.31,spiral
obj_0017051,14.19,0.51,2.38,0.07,elliptical
obj_0017052,19.64,0.69,3.01,0.0,spiral
obj_0017053,15.21,0.59,1.78,0.05,spiral
obj_0017054,16.94,0.8,2.18,0.18,spiral
obj_0017055,18.91,-0.09,2.39,0.01,spiral
obj_0017056,17.18,0.52,4.03,0.08,elliptical
obj_0017057,15.55,0.56,3.25,0.23,spiral
obj_0017058,15.9,0.68,2.22,0.26,spiral
obj_0017059,14.75,0.83,0.83,0.18,elliptical
obj_0017060,17.32,1.01,3.05,0.16,elliptical
obj_0017061,16.85,0.63,3.52,0.06,spiral
obj_0017062,15.23,1.06,1.97,0.08,spiral
obj_0017063,14.44,0.84,1.91,0.06,spiral
obj_0017064,14.02,0.94,0.45,0.15,elliptical
obj_0017065,17.48,0.73,2.98,0.23,spiral
obj_0017066,16.18,0.7,1.66,0.19,spiral
obj_0017067,16.32,1.01,3.11,0.15,elliptical
obj_0017068,14.77,0.73,3.37,0.03,spiral
obj_0017069,13.8,0.76,1.56,0.17,elliptical
obj_0017070,17.44,0.33,1.79,0.42,elliptical
obj_0017071,16.06,0.6,1.34,0.38,spiral
obj_0017072,17.36,0.5,3.48,0.08,spiral
obj_0017073,15.42,0.89,1.81,0.09,spiral
obj_0017074,15.64,0.76,1.3,0.01,elliptical
obj_0017075,17.07,0.79,0.3,0.14,elliptical
obj_0017076,17.1,0.53,3.41,0.21,elliptical
obj_0017077,17.2,0.48,3.58,0.04,spiral
obj_0017078,15.56,0.69,1.76,0.06,spiral
obj_0017079,16.92,0.96,2.41,0.28,elliptical
obj_0017080,17.66,0.33,1.43,0.03,elliptical
obj_0017081,15.84,0.46,0.93,0.11,spiral
obj_0017082,15.23,1.19,2.33,0.19,elliptical
obj_0017083,18.01,0.29,3.12,0.16,spiral
obj_0017084,15.02,0.94,2.11,0.14,elliptical
obj_0017085,16.94,0.1,1.77,0.02,spiral
obj_0017086,15.91,0.42,3.21,0.15,spiral
obj_0017087,13.24,0.84,2.02,0.01,elliptical
obj_0017088,17.69,0.45,2.35,0.16,spiral
obj_0017089,11.86,0.49,2.57,0.13,spiral
obj_0017090,13.02,0.09,1.98,0.29,spiral
obj_0017091,16.79,0.32,1.47,0.19,elliptical
obj_0017092,16.79,0.14,2.72,0.01,spiral
obj_0017093,15.04,0.21,3.47,0.04,spiral
obj_0017094,16.22,0.82,2.51,0.03,elliptical
obj_0017095,12.2,0.21,2.93,0.08,elliptical
obj_0017096,17.06,0.69,2.9,0.07,elliptical
obj_0017097,16.37,0.57,2.62,0.05,spiral
obj_0017098,15.93,0.27,1.62,0.47,spiral
obj_0017099,16.03,0.25,2.7,0.09,spiral
obj_0017100,16.74,0.77,3.15,0.27,spiral
obj_0017101,15.96,0.8,1.28,0.59,spiral
obj_0017102,13.19,0.96,1.55,0.17,spiral
obj_0017103,19.29,0.55,3.2,0.08,spiral
obj_0017104,17.8,0.46,3.31,0.04,elliptical
obj_0017105,14.07,0.05,1.74,0.2,elliptical
obj_0017106,15.48,0.6,1.95,0.16,spiral
obj_0017107,15.65,0.18,3.4,0.09,spiral
obj_0017108,17.62,0.43,3.41,0.15,elliptical
obj_0017109,12.76,0.5,2.66,0.03,spiral
obj_0017110,15.25,0.29,3.16,0.06,spiral
obj_0017111,13.36,1.01,1.4,0.01,spiral
obj_0017112,15.57,1.35,1.06,0.08,spiral
obj_0017113,15.29,1.04,2.27,0.01,elliptical
obj_0017114,16.12,1.03,3.15,0.11,spiral
obj_0017115,15.09,0.74,2.39,0.04,elliptical
obj_0017116,14.87,0.89,3.29,0.06,spiral
obj_0017117,16.93,0.84,3.04,0.31,spiral
obj_0017118,16.68,0.48,2.28,0.09,elliptical
obj_0017119,16.83,0.97,2.14,0.03,elliptical
obj_0017120,15.73,0.43,2.53,0.28,elliptical
obj_0017121,15.14,0.95,4.04,0.11,elliptical
obj_0017122,15.82,0.86,2.17,0.17,elliptical
obj_0017123,16.75,0.55,0.77,0.18,spiral
obj_0017124,12.73,0.26,2.46,0.17,elliptical
obj_0017125,16.59,0.84,1.69,0.05,elliptical
obj_0017126,16.46,0.32,1.56,0.05,spiral
obj_0017127,16.09,0.73,2.44,0.31,elliptical
obj_0017128,15.78,0.7,3.21,0.39,elliptical
obj_0017129,12.15,0.64,3.04,0.21,spiral
obj_0017130,15.34,0.68,3.21,0.01,elliptical
obj_0017131,18.68,0.52,1.45,0.18,spiral
obj_0017132,16.02,0.34,3.3,0.44,spiral
obj_0017133,15.54,0.76,1.75,0.06,spiral
obj_0017134,16.03,1.2,2.46,0.05,spiral
obj_0017135,16.53,0.9,3.51,0.33,elliptical
obj_0017136,16.99,0.81,3.63,0.06,spiral
obj_0017137,15.66,0.46,2.4,0.21,spiral
obj_0017138,16.64,1.44,2.44,0.02,spiral
obj_0017139,18.51,0.77,1.54,0.1,elliptical
obj_0017140,17.51,0.7,2.15,0.17,spiral
obj_0017141,19.51,0.84,2.04,0.29,spiral
obj_0017142,15.01,0.3,2.3,0.23,spiral
obj_0017143,18.51,0.67,2.73,0.03,spiral
obj_0017144,14.81,0.86,2.45,0.1,elliptical
obj_0017145,16.53,0.63,1.46,0.08,elliptical
obj_0017146,17.1,0.14,2.37,0.04,spiral
obj_0017147,15.23,0.83,2.81,0.18,spiral
obj_0017148,16.13,0.53,3.86,0.02,spiral
obj_0017149,17.37,0.97,2.53,0.04,spiral
obj_0017150,14.93,0.59,1.47,0.3,elliptical
obj_0017151,18.5,0.35,2.12,0.1,spiral
obj_0017152,13.92,0.66,2.61,0.19,spiral
obj_0017153,18.91,0.64,2.7,0.02,elliptical
obj_0017154,17.5,0.89,0.44,0.24,elliptical
obj_0017155,15.87,0.74,2.7,0.46,elliptical
obj_0017156,15.4,0.38,3.87,0.04,elliptical
obj_0017157,15.24,0.77,3.23,0.01,elliptical
obj_0017158,15.8,0.88,2.64,0.0,elliptical
obj_0017159,15.93,0.36,2.53,0.14,spiral
obj_0017160,17.88,0.66,3.2,0.09,spiral
obj_0017161,18.95,0.28,3.92,0.32,elliptical
obj_0017162,16.3,1.04,2.43,0.34,spiral
obj_0017163,14.73,0.9,2.21,0.04,spiral
obj_0017164,15.18,0.47,3.01,0.12,elliptical
obj_0017165,15.73,0.45,2.3,0.38,spiral
obj_0017166,14.45,0.59,2.47,0.11,elliptical
obj_0017167,14.23,0.59,1.88,0.2,spiral
obj_0017168,19.15,0.54,2.93,0.07,spiral
obj_0017169,16.45,0.59,2.08,0.32,spiral
obj_0017170,14.75,0.28,1.82,0.2,elliptical
obj_0017171,17.22,0.27,2.25,0.12,elliptical
obj_0017172,14.23,0.29,2.97,0.13,spiral
obj_0017173,14.36,0.66,2.56,0.14,elliptical
obj_0017174,14.8,0.92,3.19,0.11,spiral
obj_0017175,18.48,1.25,0.91,0.2,elliptical
obj_0017176,15.62,1.08,1.65,0.13,elliptical
obj_0017177,12.34,0.36,1.65,0.01,elliptical
obj_0017178,17.82,0.96,2.07,0.12,spiral
obj_0017179,15.54,0.65,3.96,0.06,spiral
obj_0017180,13.23,0.77,2.56,0.12,elliptical
obj_0017181,15.52,1.08,1.74,0.29,spiral
obj_0017182,16.78,0.99,2.85,0.12,spiral
obj_0017183,16.61,0.42,2.33,0.56,spiral
obj_0017184,18.7,0.51,1.62,0.28,spiral
obj_0017185,14.72,0.57,2.16,0.06,spiral
obj_0017186,16.07,0.65,2.82,0.04,spiral
obj_0017187,14.95,0.73,0.67,0.1,spiral
obj_0017188,13.69,1.06,3.68,0.03,spiral
obj_0017189,17.33,0.57,2.63,0.27,spiral
obj_0017190,16.69,0.49,2.61,0.01,elliptical
obj_0017191,16.43,0.65,3.84,0.48,spiral
obj_0017192,16.64,0.43,2.92,0.28,spiral
obj_0017193,14.97,1.06,0.64,0.02,spiral
obj_0017194,14.49,0.26,1.56,0.06,elliptical
obj_0017195,16.06,-0.03,1.85,0.58,elliptical
obj_0017196,17.74,0.34,2.38,0.19,elliptical
obj_0017197,18.41,-0.02,2.6,0.16,spiral
obj_0017198,17.19,0.7,2.4,0.54,spiral
obj_0017199,16.04,0.22,2.28,0.3,elliptical
obj_0017200,16.4,1.23,4.21,0.01,spiral
obj_0017201,16.02,0.66,1.77,0.09,spiral
obj_0017202,14.46,0.51,1.99,0.4,spiral
obj_0017203,16.04,0.24,2.58,0.1,spiral
obj_0017204,14.0,0.66,2.59,0.41,spiral
obj_0017205,15.81,1.13,2.51,0.32,elliptical
obj_0017206,18.45,0.03,2.66,0.04,spiral
obj_0017207,17.23,0.84,2.81,0.16,spiral
obj_0017208,14.62,0.35,2.96,0.17,spiral
obj_0017209,15.89,0.94,1.93,0.41,elliptical
obj_0017210,14.75,0.37,2.91,0.11,elliptical
obj_0017211,15.91,1.06,2.54,0.5,spiral
obj_0017212,17.56,0.78,3.68,0.45,elliptical
obj_0017213,16.98,0.29,2.3,0.2,elliptical
obj_0017214,19.73,0.32,2.55,0.52,spiral
obj_0017215,17.79,0.53,2.7,0.18,spiral
obj_0017216,16.31,0.28,2.38,0.12,spiral
obj_0017217,17.02,0.12,1.51,0.13,elliptical
obj_0017218,15.7,0.97,2.87,0.38,spiral
obj_0017219,14.31,0.02,2.59,0.0,elliptical
obj_0017220,17.96,1.09,1.39,0.14,spiral
obj_0017221,17.51,0.47,1.88,0.01,spiral
obj_0017222,15.64,0.74,2.76,0.16,elliptical
obj_0017223,16.41,1.29,2.73,0.07,spiral
obj_0017224,17.86,0.81,3.22,0.43,elliptical
obj_0017225,17.27,0.41,1.06,0.11,spiral
obj_0017226,13.81,1.14,2.27,0.21,elliptical
obj_0017227,16.37,0.05,1.72,0.22,elliptical
obj_0017228,15.75,0.67,2.0,0.09,elliptical
obj_0017229,17.67,0.99,1.8,0.08,spiral
obj_0017230,17.55,0.46,2.5,0.32,spiral
obj_0017231,17.98,0.29,1.16,0.01,elliptical
obj_0017232,14.32,0.23,1.84,0.27,spiral
obj_0017233,14.82,0.57,2.29,0.05,spiral
obj_0017234,17.67,0.0,2.09,0.08,elliptical
obj_0017235,15.11,0.03,2.03,0.01,spiral
obj_0017236,13.72,0.41,3.44,0.57,spiral
obj_0017237,16.8,0.47,2.31,0.38,spiral
obj_0017238,15.18,0.7,2.89,0.16,elliptical
obj_0017239,18.68,0.5,3.21,0.32,spiral
obj_0017240,16.44,0.39,3.03,0.17,spiral
obj_0017241,16.24,0.98,2.59,0.08,elliptical
obj_0017242,15.45,0.71,2.49,0.49,spiral
obj_0017243,18.39,1.16,2.3,0.25,elliptical
obj_0017244,16.54,0.59,3.52,0.5,elliptical
obj_0017245,15.39,0.11,3.1,0.05,elliptical
obj_0017246,14.81,0.39,1.38,0.14,elliptical
obj_0017247,15.89,0.24,1.51,0.0,elliptical
obj_0017248,14.53,0.64,2.77,0.06,elliptical
obj_0017249,17.54,0.65,2.59,0.16,elliptical
obj_0017250,13.29,0.23,2.82,0.19,spiral
obj_0017251,15.79,0.53,2.57,0.61,elliptical
obj_0017252,16.92,0.73,1.53,0.16,spiral
obj_0017253,16.51,0.3,3.05,0.12,elliptical
obj_0017254,14.92,1.57,2.48,0.18,spiral
obj_0017255,16.99,0.45,2.86,0.34,spiral
obj_0017256,14.67,0.54,2.95,0.19,elliptical
obj_0017257,15.97,0.4,2.26,0.13,spiral
obj_0017258,16.98,0.18,3.18,0.52,elliptical
obj_0017259,16.69,0.37,3.03,0.34,spiral
obj_0017260,14.99,0.43,2.43,0.45,elliptical
obj_0017261,17.8,0.72,2.5,0.06,spiral
obj_0017262,16.13,0.63,3.76,0.06,elliptical
obj_0017263,17.11,0.24,3.26,0.06,elliptical
obj_0017264,18.29,0.74,3.13,0.31,spiral
obj_0017265,17.68,0.62,2.79,0.27,spiral
obj_0017266,17.68,0.97,2.96,0.03,spiral
obj_0017267,16.29,1.21,2.39,0.09,spiral
obj_0017268,17.19,0.8,2.33,0.56,spiral
obj_0017269,16.32,0.81,2.08,0.01,spiral
obj_0017270,14.19,0.37,2.35,0.14,spiral
obj_0017271,16.45,0.56,2.13,0.3,elliptical
obj_0017272,16.38,-0.15,3.46,0.12,spiral
obj_0017273,16.88,0.46,2.5,0.16,spiral
obj_0017274,15.81,0.75,2.27,0.32,elliptical
obj_0017275,14.86,1.08,1.58,0.03,spiral
obj_0017276,16.98,0.52,2.1,0.4,spiral
obj_0017277,14.03,0.51,2.39,0.44,spiral
obj_0017278,18.19,0.47,4.17,0.08,spiral
obj_0017279,15.65,0.33,2.99,0.0,elliptical
obj_0017280,16.37,0.31,1.72,0.14,spiral
obj_0017281,16.84,0.34,2.23,0.15,elliptical
obj_0017282,16.89,0.98,2.69,0.1,spiral
obj_0017283,13.89,0.54,2.68,0.12,elliptical
obj_0017284,17.24,0.26,0.8,0.18,elliptical
obj_0017285,16.45,0.29,2.48,0.62,elliptical
obj_0017286,15.05,0.02,2.28,0.36,spiral
obj_0017287,14.88,0.49,3.28,0.23,spiral
obj_0017288,15.5,0.4,1.8,0.43,spiral
obj_0017289,14.05,0.65,1.74,0.09,elliptical
obj_0017290,18.58,0.82,3.2,0.3,spiral
obj_0017291,18.23,0.36,1.96,0.27,spiral
obj_0017292,16.68,0.53,1.0,0.03,spiral
obj_0017293,15.66,0.91,1.91,0.02,elliptical
obj_0017294,15.7,0.39,3.16,0.08,spiral
obj_0017295,17.14,0.23,3.18,0.01,spiral
obj_0017296,18.64,0.73,2.91,0.13,spiral
obj_0017297,15.14,0.94,2.35,0.27,elliptical
obj_0017298,14.32,0.92,2.49,0.07,elliptical
obj_0017299,18.32,0.39,2.1,0.1,elliptical
obj_0017300,13.32,0.27,3.79,0.22,spiral
obj_0017301,14.49,0.52,2.05,0.46,spiral
obj_0017302,15.63,0.61,2.95,0.11,elliptical
obj_0017303,13.66,0.59,2.05,0.07,elliptical
obj_0017304,17.67,0.43,3.19,0.17,spiral
obj_0017305,17.29,0.95,2.69,0.27,spiral
obj_0017306,15.14,1.0,2.43,0.35,spiral
obj_0017307,17.92,0.19,1.52,0.17,spiral
obj_0017308,18.17,0.31,2.95,0.01,spiral
obj_0017309,15.83,0.53,1.95,0.12,spiral
obj_0017310,15.32,0.57,2.78,0.56,spiral
obj_0017311,19.39,0.75,2.03,0.06,elliptical
obj_0017312,17.08,0.48,3.1,0.12,spiral
obj_0017313,16.38,0.53,3.18,0.52,spiral
obj_0017314,18.05,-0.11,2.27,0.17,spiral
obj_0017315,16.45,0.96,2.02,0.16,spiral
obj_0017316,15.24,0.06,3.52,0.33,elliptical
obj_0017317,16.12,0.06,2.55,0.17,spiral
obj_0017318,17.56,0.12,1.87,0.14,elliptical
obj_0017319,13.01,0.34,2.47,0.45,spiral
obj_0017320,15.57,0.9,2.44,0.15,spiral
obj_0017321,18.07,0.9,2.4,0.2,spiral
obj_0017322,15.23,0.44,2.45,0.45,elliptical
obj_0017323,18.32,0.14,1.87,0.32,spiral
obj_0017324,18.12,0.7,2.22,0.26,elliptical
obj_0017325,15.9,0.5,1.91,0.08,elliptical
obj_0017326,15.15,0.85,4.31,0.09,spiral
obj_0017327,15.57,0.22,2.12,0.31,spiral
obj_0017328,20.0,0.51,2.01,0.18,spiral
obj_0017329,18.81,0.81,1.78,0.11,elliptical
obj_0017330,16.19,0.88,4.1,0.02,elliptical
obj_0017331,15.09,1.02,2.28,0.01,elliptical
obj_0017332,16.18,1.03,2.28,0.01,spiral
obj_0017333,16.37,0.55,2.69,0.01,elliptical
obj_0017334,14.13,0.88,1.71,0.06,spiral
obj_0017335,16.12,0.9,1.84,0.13,elliptical
obj_0017336,17.98,0.23,2.09,0.07,spiral
obj_0017337,13.3,0.78,2.65,0.0,elliptical
obj_0017338,17.24,0.53,2.86,0.5,spiral
obj_0017339,18.06,0.79,2.0,0.03,spiral
obj_0017340,15.16,0.75,2.64,0.08,spiral
obj_0017341,18.54,0.92,2.08,0.4,elliptical
obj_0017342,14.96,0.79,2.14,0.03,elliptical
obj_0017343,16.66,0.51,3.18,0.11,spiral
obj_0017344,15.54,0.66,2.39,0.38,elliptical
obj_0017345,15.54,0.35,1.61,0.26,spiral
obj_0017346,15.07,0.99,1.55,0.21,spiral
obj_0017347,17.05,0.87,3.17,0.14,spiral
obj_0017348,17.27,0.22,1.82,0.13,elliptical
obj_0017349,15.9,0.7,2.61,0.2,elliptical
obj_0017350,13.96,1.05,3.78,0.02,spiral
obj_0017351,16.6,0.83,2.46,0.03,spiral
obj_0017352,16.63,0.74,2.45,0.42,spiral
obj_0017353,15.67,0.8,2.97,0.35,spiral
obj_0017354,18.8,0.64,3.12,0.11,spiral
obj_0017355,13.65,0.38,2.49,0.37,spiral
obj_0017356,12.67,0.48,2.1,0.33,spiral
obj_0017357,14.9,0.4,2.86,0.36,elliptical
obj_0017358,17.07,0.72,0.85,0.03,spiral
obj_0017359,14.42,0.98,2.72,0.03,spiral
obj_0017360,14.53,0.93,3.98,0.04,elliptical
obj_0017361,17.43,0.26,3.2,0.11,spiral
obj_0017362,16.69,0.34,2.74,0.07,spiral
obj_0017363,16.57,0.43,2.71,0.03,elliptical
obj_0017364,17.17,0.66,4.09,0.1,spiral
obj_0017365,15.36,0.33,1.67,0.16,elliptical
obj_0017366,15.43,0.86,1.68,0.07,elliptical
obj_0017367,17.21,0.22,2.52,0.49,spiral
obj_0017368,13.98,0.84,2.15,0.42,elliptical
obj_0017369,12.79,0.77,2.82,0.07,spiral
obj_0017370,15.35,0.22,1.97,0.1,elliptical
obj_0017371,17.4,0.57,3.05,0.27,spiral
obj_0017372,16.38,0.45,1.65,0.03,spiral
obj_0017373,17.29,0.28,1.7,0.32,elliptical
obj_0017374,12.98,0.8,3.14,0.2,spiral
obj_0017375,16.47,0.68,1.92,0.43,spiral
obj_0017376,16.98,0.37,1.08,0.07,elliptical
obj_0017377,13.97,1.12,2.59,0.03,spiral
obj_0017378,17.29,0.52,2.4,0.14,elliptical
obj_0017379,15.83,0.34,2.19,0.34,spiral
obj_0017380,20.61,0.65,2.87,0.08,spiral
obj_0017381,12.73,1.08,3.51,0.18,spiral
obj_0017382,18.05,0.27,2.0,0.31,spiral
obj_0017383,15.41,0.64,3.08,0.48,elliptical
obj_0017384,13.57,0.54,1.8,0.0,spiral
obj_0017385,15.21,0.69,4.04,0.11,spiral
obj_0017386,16.42,0.33,1.72,0.12,spiral
obj_0017387,17.56,0.73,2.44,0.17,spiral
obj_0017388,18.58,0.7,1.74,0.6,elliptical
obj_0017389,18.13,0.85,3.21,0.03,spiral
obj_0017390,14.55,0.73,2.82,0.04,elliptical
obj_0017391,17.7,0.87,2.75,0.03,elliptical
obj_0017392,16.59,0.72,2.55,0.0,spiral
obj_0017393,15.02,0.89,1.64,0.05,spiral
obj_0017394,15.68,0.83,2.27,0.2,spiral
obj_0017395,14.94,0.74,1.69,0.26,elliptical
obj_0017396,16.06,0.78,2.94,0.08,spiral
obj_0017397,14.91,0.7,2.18,0.02,elliptical
obj_0017398,14.46,0.4,1.88,0.1,elliptical
obj_0017399,16.72,0.63,2.21,0.15,spiral
obj_0017400,16.94,0.44,1.25,0.28,spiral
obj_0017401,15.72,0.76,1.55,0.05,spiral
obj_0017402,18.05,-0.09,2.11,0.15,spiral
obj_0017403,15.61,0.51,1.84,0.1,elliptical
obj_0017404,15.55,0.23,1.73,0.06,elliptical
obj_0017405,16.99,0.59,3.42,0.34,spiral
obj_0017406,15.8,0.33,3.4,0.31,elliptical
obj_0017407,16.13,1.11,2.31,0.02,spiral
obj_0017408,12.22,0.25,2.16,0.3,elliptical
obj_0017409,16.03,0.48,1.99,0.1,spiral
obj_0017410,13.26,1.06,1.87,0.73,elliptical
obj_0017411,14.17,0.95,3.12,0.25,elliptical
obj_0017412,14.0,0.94,2.82,0.38,elliptical
obj_0017413,14.44,0.11,2.18,0.26,spiral
obj_0017414,15.18,0.54,1.18,0.32,elliptical
obj_0017415,15.27,0.3,1.62,0.13,spiral
obj_0017416,17.0,0.73,2.12,0.0,spiral
obj_0017417,16.33,0.81,4.2,0.0,elliptical
obj_0017418,13.15,0.97,1.71,0.27,elliptical
obj_0017419,16.12,0.62,2.69,0.08,spiral
obj_0017420,16.48,0.41,0.69,0.03,elliptical
obj_0017421,15.51,0.39,2.38,0.19,spiral
obj_0017422,15.91,0.6,2.78,0.15,elliptical
obj_0017423,16.29,0.73,2.82,0.12,elliptical
obj_0017424,17.15,0.81,2.2,0.17,elliptical
obj_0017425,13.64,0.68,4.4,0.19,elliptical
obj_0017426,15.63,0.25,1.92,0.39,elliptical
obj_0017427,18.26,0.64,1.46,0.14,elliptical
obj_0017428,18.12,0.71,3.09,0.0,spiral
obj_0017429,17.28,-0.12,1.93,0.0,spiral
obj_0017430,16.81,0.66,2.36,0.05,spiral
obj_0017431,18.48,0.6,3.55,0.04,spiral
obj_0017432,18.88,0.82,2.15,0.47,spiral
obj_0017433,15.81,0.37,1.07,0.04,spiral
obj_0017434,14.55,0.57,3.01,0.24,spiral
obj_0017435,15.59,0.51,2.33,0.18,spiral
obj_0017436,20.65,0.64,1.91,0.07,elliptical
obj_0017437,13.65,0.33,2.97,0.08,elliptical
obj_0017438,15.29,0.85,2.13,0.43,spiral
obj_0017439,13.88,0.16,2.52,0.26,elliptical
obj_0017440,16.19,0.73,2.2,0.01,elliptical
obj_0017441,14.2,1.38,1.78,0.47,spiral
obj_0017442,15.84,0.54,2.2,0.45,elliptical
obj_0017443,13.07,0.95,2.16,0.3,spiral
obj_0017444,16.93,0.47,1.9,0.11,spiral
obj_0017445,17.83,1.06,3.59,0.01,elliptical
obj_0017446,15.42,0.54,1.97,0.4,spiral
obj_0017447,15.8,0.63,3.86,0.35,elliptical
obj_0017448,15.75,0.63,2.99,0.09,spiral
obj_0017449,16.27,0.23,2.24,0.22,spiral
obj_0017450,15.94,0.77,2.07,0.01,elliptical
obj_0017451,17.15,0.58,2.24,0.11,elliptical
obj_0017452,17.85,0.55,2.64,0.38,spiral
obj_0017453,14.78,0.0,3.23,0.01,elliptical
obj_0017454,15.54,1.1,4.04,0.09,spiral
obj_0017455,17.35,1.28,1.74,0.04,spiral
obj_0017456,13.87,-0.17,1.93,0.26,spiral
obj_0017457,13.04,0.64,1.43,0.07,elliptical
obj_0017458,16.34,0.65,1.61,0.09,elliptical
obj_0017459,16.74,1.14,2.77,0.12,elliptical
obj_0017460,14.92,0.39,2.34,0.1,spiral
obj_0017461,15.13,1.03,2.56,0.13,elliptical
obj_0017462,14.86,0.35,3.54,0.08,spiral
obj_0017463,14.7,0.58,3.14,0.05,spiral
obj_0017464,17.04,0.91,3.32,0.22,spiral
obj_0017465,14.23,0.75,2.48,0.01,elliptical
obj_0017466,15.6,0.61,1.94,0.04,elliptical
obj_0017467,14.64,0.69,1.49,0.21,spiral
obj_0017468,13.82,0.93,2.09,0.1,spiral
obj_0017469,17.31,0.57,2.5,0.06,spiral
obj_0017470,15.22,0.71,1.85,0.14,spiral
obj_0017471,16.28,0.98,2.11,0.07,elliptical
obj_0017472,13.74,0.63,1.4,0.09,spiral
obj_0017473,14.89,0.46,1.98,0.0,spiral
obj_0017474,17.13,0.81,2.87,0.48,spiral
obj_0017475,19.88,0.96,2.09,0.11,elliptical
obj_0017476,13.04,0.96,3.46,0.0,spiral
obj_0017477,15.7,0.81,2.75,0.3,spiral
obj_0017478,16.62,1.07,2.87,0.0,spiral
obj_0017479,15.08,0.65,3.35,0.31,spiral
obj_0017480,17.27,0.46,1.77,0.18,spiral
obj_0017481,14.7,0.18,2.71,0.19,spiral
obj_0017482,16.23,0.3,3.11,0.06,spiral
obj_0017483,15.22,0.74,2.02,0.04,elliptical
obj_0017484,17.83,0.74,0.87,0.39,elliptical
obj_0017485,14.99,1.04,1.19,0.06,spiral
obj_0017486,15.47,0.8,1.78,0.23,spiral
obj_0017487,17.42,0.73,2.21,0.03,spiral
obj_0017488,14.46,0.43,3.24,0.25,elliptical
obj_0017489,16.1,0.95,3.33,0.42,elliptical
obj_0017490,13.27,1.33,2.62,0.21,spiral
obj_0017491,14.37,0.5,2.61,0.01,spiral
obj_0017492,16.57,0.38,1.96,0.13,spiral
obj_0017493,14.51,0.4,2.97,0.05,elliptical
obj_0017494,15.18,1.09,2.47,0.15,spiral
obj_0017495,16.74,0.83,1.4,0.06,spiral
obj_0017496,15.13,0.63,2.88,0.24,spiral
obj_0017497,17.23,0.77,3.31,0.21,elliptical
obj_0017498,16.32,0.12,3.55,0.35,elliptical
obj_0017499,16.65,1.12,3.88,0.13,spiral
obj_0017500,17.86,0.81,1.79,0.01,spiral
obj_0017501,16.48,0.85,3.28,0.14,elliptical
obj_0017502,18.31,0.47,2.03,0.07,spiral
obj_0017503,17.37,0.24,1.17,0.13,elliptical
obj_0017504,15.21,0.66,0.64,0.22,elliptical
obj_0017505,17.94,0.76,2.74,0.39,spiral
obj_0017506,16.4,0.65,3.37,0.31,spiral
obj_0017507,15.41,0.88,2.03,0.09,spiral
obj_0017508,16.42,0.34,2.82,0.35,spiral
obj_0017509,17.67,0.34,1.63,0.46,spiral
obj_0017510,16.68,0.36,3.61,0.24,elliptical
obj_0017511,18.73,0.27,2.09,0.14,spiral
obj_0017512,17.63,0.48,1.69,0.09,elliptical
obj_0017513,16.78,0.5,2.95,0.19,elliptical
obj_0017514,14.46,0.65,2.65,0.03,elliptical
obj_0017515,15.73,0.87,2.54,0.11,elliptical
obj_0017516,16.11,0.71,2.36,0.11,elliptical
obj_0017517,17.04,0.17,3.19,0.07,spiral
obj_0017518,16.96,0.84,2.23,0.11,spiral
obj_0017519,16.25,0.27,2.85,0.47,spiral
obj_0017520,16.18,-0.03,1.79,0.33,elliptical
obj_0017521,17.08,0.85,2.43,0.13,spiral
obj_0017522,14.71,0.9,1.09,0.23,elliptical
obj_0017523,18.54,1.01,2.5,0.15,spiral
obj_0017524,12.93,0.68,2.53,0.19,spiral
obj_0017525,18.18,1.04,2.1,0.06,spiral
obj_0017526,15.93,0.11,1.97,0.09,elliptical
obj_0017527,17.5,0.49,3.26,0.14,elliptical
obj_0017528,16.55,0.87,1.73,0.14,spiral
obj_0017529,16.52,0.6,2.25,0.07,elliptical
obj_0017530,16.83,0.75,2.76,0.35,elliptical
obj_0017531,17.21,0.74,2.02,0.27,elliptical
obj_0017532,15.51,0.87,2.21,0.07,spiral
obj_0017533,17.55,1.18,2.77,0.11,spiral
obj_0017534,14.37,0.75,1.75,0.35,spiral
obj_0017535,15.99,0.78,2.99,0.12,elliptical
obj_0017536,17.25,0.33,2.94,0.04,spiral
obj_0017537,17.49,0.47,3.11,0.3,elliptical
obj_0017538,16.69,0.65,2.31,0.0,elliptical
obj_0017539,15.41,0.55,3.14,0.15,elliptical
obj_0017540,17.35,0.25,2.55,0.16,spiral
obj_0017541,15.0,0.9,2.0,0.01,spiral
obj_0017542,18.63,0.45,2.65,0.02,elliptical
obj_0017543,15.87,0.59,1.79,0.07,elliptical
obj_0017544,13.69,0.22,2.91,0.18,spiral
obj_0017545,14.21,0.8,2.78,0.07,elliptical
obj_0017546,16.07,0.53,2.12,0.18,elliptical
obj_0017547,16.21,0.78,2.59,0.08,elliptical
obj_0017548,18.95,-0.22,2.34,0.06,spiral
obj_0017549,14.44,0.37,3.16,0.03,spiral
obj_0017550,16.06,0.86,2.66,0.05,elliptical
